timestamp,tweet,username
Wed Oct 24 10:00:56 +0000 2018,Kemenkominfo saat ini sedang membuat sebuah program pelatihan bersertifikat Digital Talent Scholarship yang ditujuk… https://t.co/uTUFwTgI49,the_marketeers
Tue Oct 23 12:35:48 +0000 2018,"#BrixtonFinishingSchool talent!! Congratulations to DJ for winning a #Scholarship to the @sca2_0. 
#Creative… https://t.co/6xpKdHxMCh",BrixtonFSchool
Tue Oct 23 09:30:46 +0000 2018,"#kom1 Menkominfo, Rudiantara: Program Prioritas Digital Talent Scholarship 2019. https://t.co/cO0y55qJjv",WikiDPR1
Tue Oct 23 09:13:18 +0000 2018,"@WikiDPR #kom1 Menkominfo, Rudiantara: Program Prioritas Digital Talent Scholarship 2019. https://t.co/sAIt2Ux92F",ahmad_rifkyyy
Mon Oct 22 06:00:00 +0000 2018,Kementerian Komunikasi dan Informatika (Kemenkominfo) memberikan beasiswa pelatihan intensif bagi 1.000 orang melal… https://t.co/bLUQ5O7pDA,IDVADS
Sun Oct 21 15:52:44 +0000 2018,"151018
Digital Talent Scholarship 2018
Grand Opening and Public Lecture
.
""Disruptive is the 4th industrial revolut… https://t.co/h5ZjKNSUej",tiffanyavikey
Fri Oct 19 03:00:36 +0000 2018,"Digital Talent Scholarship 2018, program beasiswa pelatihan yang digagas oleh Badan Penelitian dan Pengembangan Sum… https://t.co/G2vOzhdabD",FASILKOM_UI
Thu Oct 18 12:08:29 +0000 2018,"DIGITAL TALENT SCHOLARSHIP 2018
15 Oktober - 07 Desember 2018
Beasiswa studi tanpa gelar yg diadakan Kemenkominfo i… https://t.co/f2hoH5dbAz",tiffanyavikey
Wed Oct 17 12:40:11 +0000 2018,RT @its_campus: #ITStv Opening Pelatihan Big Data Dan Artificial Intelligent “DIGITAL TALENT SCHOLARSHIP” https://t.co/Eaf91gUaqg,AD18_P
Wed Oct 17 12:09:19 +0000 2018,#ITStv Opening Pelatihan Big Data Dan Artificial Intelligent “DIGITAL TALENT SCHOLARSHIP” https://t.co/Eaf91gUaqg,its_campus
Wed Oct 17 12:04:29 +0000 2018,Opening Pelatihan Big Data Dan Artificial Intelligent “DIGITAL TALENT SCHOLARSHIP” https://t.co/ygi1U3MzTc,arief1997
Wed Oct 17 11:35:12 +0000 2018,Opening Pelatihan Big Data Dan Artificial Intelligent “DIGITAL TALENT SCHOLARSHIP” https://t.co/6v4SvkXdNP,ITSOnline_
Mon Oct 15 20:58:40 +0000 2018,"Now I'm here, spending my time for the next 2 months - expanding my horizon in Artificial Intelligence.

Program Be… https://t.co/77EVebvqDq",arief1997
Mon Oct 15 16:20:56 +0000 2018,"RT @SBIMag: Print’s next generation of talent will have added support in reaching their goals, thanks to a new Print and Graphics Scholarsh…",printing_tech
Mon Oct 15 15:01:24 +0000 2018,"Print’s next generation of talent will have added support in reaching their goals, thanks to a new Print and Graphi… https://t.co/GbRX7qkt0e",SBIMag
Mon Oct 15 14:28:22 +0000 2018,"Ini dia keseruan dari Pembukaan Digital Talent Scholarship 2018 bersama @kemkominfo. 😁
Nantikan keseruan acara yang… https://t.co/UbGh1NVp4g",cfds_ugm
Mon Oct 15 13:12:03 +0000 2018,The Friends of Design Academy of Digital Arts is proud to announce that their Distinguished Talent Scholarship appl… https://t.co/IpFia1sCFX,Craft_andDesign
Mon Oct 15 07:47:01 +0000 2018,[ Selamat datang mahasiswa baru program Digital Talent Scholarship 2018 Kemkominfo bidang AI di FTE Kampus ITS Sura… https://t.co/t5HQGNOIke,arief1997
Mon Oct 15 03:41:46 +0000 2018,"Opening Ceremony
Digital Talent Scholarship 2018, Kementerian Komunikasi dan Informatika (Kemkominfo)
Bidang Big Da… https://t.co/JLcAicvCwT",arief1997
Mon Oct 15 03:07:19 +0000 2018,"Bismillahhirahmannirahim, Pembukaan Digital Talent Scholarship 2018 menuju Revolusi Industri 4.0 ! Via @kemkominfo… https://t.co/gQcke5tLGW",Heru_Irawann
